Date,Payee,Category,Amount
2022-01-28,Linuxfoundation Httpswww.linu Ca             01/27,Uncategorized,-187.5
2022-01-28,Dr Dona Seely Bellevue Wa                    01/26,Uncategorized,-350.0
2022-01-28,Mayuri,Dining & Drinks:Restaurants,-14.3
2022-01-28,Chipotle,Dining & Drinks:Restaurants,-13.05
2022-01-31,Chase Mortgage,Home:Mortgage,-42.5
2022-01-31,Subway 56541 Bellevue Wa                     01/29,Uncategorized,-26.3
2022-01-31,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-01-31,Nordstrom,Shopping,-2.75
2022-01-31,Chase Mortgage,Home:Mortgage,-2.5
2022-01-31,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-01-31,Google Domain,Software ,-13.21
2022-01-31,Rose Market Bellevue Wa                      01/29,Uncategorized,-2.49
2022-01-31,Earls,Dining & Drinks:Restaurants,-34.5
2022-01-31,Panda Express,Dining & Drinks:Restaurants,-35.67
2022-01-31,Panda Express,Dining & Drinks:Restaurants,-9.22
2022-02-01,Online Transfer From Chk ...5583 Transaction#: 13573335303,Uncategorized,2256.03
2022-02-01,Chase Mortgage,Home:Mortgage,-5307.82
2022-02-01,Alimony,Home,-2200.0
2022-02-02,Mayuri,Dining & Drinks:Restaurants,-15.4
2022-02-02,UPS,Home,-2.7
2022-02-02,Mayuri,Dining & Drinks:Restaurants,-6.68
2022-02-03,Amli Spring District,Home:Rent,-2615.91
2022-02-03,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2022-02-03,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-02-03,Google *gsuite Bluefi 650-253-0000 Ca        02/02,Software ,-0.21
2022-02-03,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-04,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-02-04,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-04,Practice Materials London                    02/03,Uncategorized,-58.65
2022-02-04,Timber Consulting,Personal Income:Paycheck,6536.21
2022-02-04,QFC Foods,Groceries,-37.67
2022-02-07,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-02-07,Chipotle,Dining & Drinks:Restaurants,-33.25
2022-02-07,Chipotle,Dining & Drinks:Restaurants,-18.06
2022-02-07,Shake Shack,Dining & Drinks:Restaurants,-37.24
2022-02-07,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-02-07,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-07,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-08,Devops Institute Inc Httpsdevopsin Fl        02/07,Uncategorized,-245.0
2022-02-08,Chipotle,Dining & Drinks:Restaurants,-10.07
2022-02-09,Safeway,Groceries,-20.06
2022-02-09,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-09,Safeway,Groceries,-8.14
2022-02-09,Sq *chaat House Bellevue Wa                  02/08,Uncategorized,-6.04
2022-02-09,Sq *chaat House Bellevue Wa                  02/08,Uncategorized,-11.82
2022-02-09,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-02-09,Panda Express,Dining & Drinks:Restaurants,-9.22
2022-02-10,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-02-10,Tax Prep,Uncategorized,-150.0
2022-02-11,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-02-11,Gieco,Auto & Transport:Car Insurance,-83.05
2022-02-11,Elizabeth Cleaning,Cleaning,-80.0
2022-02-11,QFC Foods,Groceries,-11.38
2022-02-14,Chipotle,Dining & Drinks:Restaurants,-18.06
2022-02-14,Tst* Cactus - Bellevue Bellevue Wa           02/14,Uncategorized,-17.61
2022-02-14,Panda Express,Dining & Drinks:Restaurants,-23.78
2022-02-14,Five Guys,Dining & Drinks:Restaurants,-37.61
2022-02-14,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-14,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-02-14,QFC Foods,Groceries,-20.9
2022-02-14,Tavern Hall,Dining & Drinks,-65.71
2022-02-15,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-15,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-02-15,QFC Foods,Groceries,-1.79
2022-02-16,Century Theaters,Entertainment,-5.73
2022-02-16,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-02-16,PSE,Utilities,-16.9
2022-02-16,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-16,Century Theaters,Entertainment,-7.65
2022-02-16,Century Theaters,Entertainment,-11.84
2022-02-17,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-02-17,Online Payment 13472778499 To Kaiser Permanente 02/17,Uncategorized,-640.0
2022-02-17,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-17,Panda Express,Dining & Drinks:Restaurants,-9.22
2022-02-17,Atm Check Deposit 02/17 10550 Ne 8th St Bellevue Wa,Uncategorized,1358.9
2022-02-17,Chevron,Auto & Transport:Gas & Fuel,-48.85
2022-02-18,Timber Consulting,Personal Income:Paycheck,6777.49
2022-02-18,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-02-18,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-18,Belle Pastry,Dining & Drinks:Restaurants,-2.55
2022-02-22,Mayuri,Dining & Drinks:Restaurants,-15.4
2022-02-22,Udemy: Online Course Httpswww.udem Ca        02/19,Uncategorized,-77.06
2022-02-22,Huel,Dining & Drinks:Restaurants,-98.5
2022-02-22,Belle Pastry,Dining & Drinks:Restaurants,-6.39
2022-02-22,Elephant Car Wash - Bel Bellevue Wa          02/19,Uncategorized,-29.0
2022-02-22,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-02-22,Panda Express,Dining & Drinks:Restaurants,-9.22
2022-02-22,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-02-22,Belle Pastry,Dining & Drinks:Restaurants,-3.08
2022-02-22,Mayuri,Dining & Drinks:Restaurants,-2.19
2022-02-22,Mayuri,Dining & Drinks:Restaurants,-8.8
2022-02-22,PCC Market,Groceries,-7.49
2022-02-23,Mayuri,Dining & Drinks:Restaurants,-7.7
2022-02-23,Mayuri,Dining & Drinks:Restaurants,-3.84
2022-02-24,Chase Mortgage,Home:Mortgage,-1975.86
2022-02-25,Mayuri,Dining & Drinks:Restaurants,-15.4
2022-02-25,PCC Market,Groceries,-7.49
2022-02-25,QFC Foods,Groceries,-8.2
2022-02-25,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-02-28,Starbucks,Dining & Drinks:Restaurants,-2.92
2022-02-28,Chipotle,Dining & Drinks:Restaurants,-18.94
2022-02-28,Shake Shack,Dining & Drinks:Restaurants,-37.24
2022-02-28,Elizabeth Cleaning,Cleaning,-80.0
2022-02-28,Mod Pizza,Dining & Drinks:Restaurants,-26.97
2022-02-28,Chipotle,Dining & Drinks:Restaurants,-18.06
2022-02-28,QFC Foods,Groceries,-12.1
2022-02-28,NY Times,Financial,-4.0
2022-02-28,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-02-28,Alimony,Home,-2200.0
2022-02-28,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-01,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-03-01,Chase Mortgage,Home:Mortgage,-5307.82
2022-03-01,Amazon Kids+*1w6w84cx 888-802-3080 Wa        03/01,Uncategorized,-3.29
2022-03-01,Panda Express,Dining & Drinks:Restaurants,-10.24
2022-03-02,Google Domain,Software ,-6.4
2022-03-02,IRS,Uncategorized,5050.0
2022-03-02,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-03,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2022-03-03,Amli Spring District,Home:Rent,-2680.18
2022-03-04,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-03-04,Timber Consulting,Personal Income:Paycheck,6596.53
2022-03-04,QFC Foods,Groceries,-7.71
2022-03-04,Mayuri,Dining & Drinks:Restaurants,-15.4
2022-03-07,QFC Foods,Groceries,-3.58
2022-03-07,Chipotle,Dining & Drinks:Restaurants,-18.06
2022-03-07,T Mobile,Utilities:Phone,-154.23
2022-03-07,Five Guys,Dining & Drinks:Restaurants,-37.61
2022-03-07,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-03-07,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-07,PCC Market,Groceries,-6.99
2022-03-07,PCC Market,Groceries,-20.97
2022-03-07,Chipotle,Dining & Drinks:Restaurants,-18.94
2022-03-08,Insurance Renter Ins Renter 0972559         Web Id: 0000275677,Uncategorized,-104.0
2022-03-08,Chase Mortgage,Home:Mortgage,-149.16
2022-03-08,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-09,Safeway,Groceries,-33.99
2022-03-09,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-03-10,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-11,PCC Market,Groceries,-7.49
2022-03-11,"Authenticid, Inc Payroll                    Ppd Id: P942875288",Uncategorized,3773.65
2022-03-14,Gieco,Auto & Transport:Car Insurance,-84.08
2022-03-14,Shake Shack,Dining & Drinks:Restaurants,-38.06
2022-03-14,Panda Express,Dining & Drinks:Restaurants,-23.78
2022-03-14,Chipotle,Dining & Drinks:Restaurants,-18.33
2022-03-14,YouTube,Software ,-13.2
2022-03-14,Nordstrom,Shopping,-4.13
2022-03-14,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-14,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-14,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-15,Panda Express,Dining & Drinks:Restaurants,-10.24
2022-03-15,PCC Market,Groceries,-27.96
2022-03-15,Carillon Point Parking Kirkland Wa           03/14,Uncategorized,-6.0
2022-03-15,Panda Express,Dining & Drinks:Restaurants,-2.86
2022-03-15,Huel,Dining & Drinks:Restaurants,-98.5
2022-03-15,Chipotle,Dining & Drinks:Restaurants,-10.07
2022-03-16,Starbucks,Dining & Drinks:Restaurants,-3.14
2022-03-16,Panda Express,Dining & Drinks:Restaurants,-13.1
2022-03-17,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-03-17,Nordstrom,Shopping,-2.75
2022-03-17,PSE,Utilities,-15.36
2022-03-17,Netflix,Entertainment,-17.05
2022-03-18,Bellevue Family Medicin Bellevue Wa          03/17,Uncategorized,-8.87
2022-03-18,Spring Deli & Mart Bellevue Wa               03/17,Uncategorized,-11.0
2022-03-18,Freshii - 2039 Bellevue Bellevue Wa          03/17,Uncategorized,-14.84
2022-03-18,Online Payment 13687208686 To Kaiser Permanente 03/18,Uncategorized,-640.0
2022-03-18,Nordstrom,Shopping,-20.72
2022-03-18,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-03-18,Timber Consulting,Personal Income:Paycheck,6595.79
2022-03-21,PCC Market,Groceries,-18.37
2022-03-21,Chipotle,Dining & Drinks:Restaurants,-18.06
2022-03-21,Chipotle,Dining & Drinks:Restaurants,-28.68
2022-03-21,Elizabeth Cleaning,Cleaning,-80.0
2022-03-21,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-21,Mod Pizza,Dining & Drinks:Restaurants,-39.14
2022-03-21,QFC Foods,Groceries,-3.58
2022-03-21,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-03-21,T Mobile,Utilities:Phone,-75.0
2022-03-21,PCC Market,Groceries,-9.98
2022-03-22,Amazon,Shopping:Electronics,-16.5
2022-03-22,Safeway,Groceries,-25.87
2022-03-22,Soylent,Groceries,-32.3
2022-03-22,Panda Express,Dining & Drinks:Restaurants,-11.4
2022-03-22,Tst* Evergreens - Wa-01 Bellevue Wa          03/21,Uncategorized,-13.18
2022-03-23,Chevron,Auto & Transport:Gas & Fuel,-56.53
2022-03-23,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-24,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-25,"Authenticid, Inc Payroll                    Ppd Id: P942875288",Uncategorized,4330.69
2022-03-25,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-25,PCC Market,Groceries,-7.49
2022-03-25,Atm Check Deposit 03/25 10550 Ne 8th St Bellevue Wa,Uncategorized,21.79
2022-03-25,NY Times,Financial,-4.0
2022-03-25,Nordstrom,Shopping,-2.75
2022-03-28,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-28,Chipotle,Dining & Drinks:Restaurants,-29.89
2022-03-28,Tmobile*postpaid Tel 800-937-8997 Wa         03/25,Uncategorized,-235.0
2022-03-28,Bartell Drugs,Health:Pharmacy,-15.0
2022-03-28,Chipotle,Dining & Drinks:Restaurants,-28.68
2022-03-28,Panda Express,Dining & Drinks:Restaurants,-13.1
2022-03-28,Shake Shack,Dining & Drinks:Restaurants,-38.06
2022-03-28,QFC Foods,Groceries,-3.98
2022-03-29,PCC Market,Groceries,-7.49
2022-03-29,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-03-30,Linkedin-677*8133076 Lnkd.in/bill Ca         03/29,Uncategorized,-264.11
2022-03-30,Google Domain,Software ,-6.61
2022-03-30,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-03-31,Panda Express,Dining & Drinks:Restaurants,-10.24
2022-03-31,Amazon Kids+*168944d1 888-802-3080 Wa        03/31,Uncategorized,-3.29
2022-03-31,QFC Foods,Groceries,-13.95
2022-03-31,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-03-31,Soylent,Groceries,-64.6
2022-04-01,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-04-01,PCC Market,Groceries,-2.69
2022-04-01,QFC Foods,Groceries,-15.05
2022-04-01,Timber Consulting,Personal Income:Paycheck,6595.79
2022-04-01,Huel,Dining & Drinks:Restaurants,-183.0
2022-04-01,Chase Mortgage,Home:Mortgage,-5307.82
2022-04-04,Amli Spring District,Home:Rent,-2683.98
2022-04-04,Chipotle,Dining & Drinks:Restaurants,-18.94
2022-04-04,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-04,Chipotle,Dining & Drinks:Restaurants,-29.4
2022-04-04,Mod Pizza,Dining & Drinks:Restaurants,-27.2
2022-04-04,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-04,QFC Foods,Groceries,-3.98
2022-04-05,Panda Express,Dining & Drinks:Restaurants,-13.1
2022-04-05,Alimony,Home,-2200.0
2022-04-05,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
2022-04-06,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-07,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-08,Idmetrics Inc.   Payroll                    Ppd Id: P942875288,Uncategorized,4330.69
2022-04-08,Panda Express,Dining & Drinks:Restaurants,-13.1
2022-04-11,Panda Express,Dining & Drinks:Restaurants,-9.22
2022-04-11,Elizabeth Cleaning,Cleaning,-80.0
2022-04-11,Panda Express,Dining & Drinks:Restaurants,-2.86
2022-04-11,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-11,Nordstrom,Shopping,-2.75
2022-04-11,Panda Express,Dining & Drinks:Restaurants,-23.78
2022-04-11,Shake Shack,Dining & Drinks:Restaurants,-38.06
2022-04-11,QFC Foods,Groceries,-3.98
2022-04-11,Chipotle,Dining & Drinks:Restaurants,-19.71
2022-04-12,Gieco,Auto & Transport:Car Insurance,-79.86
2022-04-12,YouTube,Software ,-13.2
2022-04-12,Manning 203-626-1510 Httpswww.mann Ny        04/11,Uncategorized,-25.99
2022-04-12,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-04-13,Panda Express,Dining & Drinks:Restaurants,-13.1
2022-04-14,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-04-15,Timber Consulting,Personal Income:Paycheck,6595.79
2022-04-15,Soylent,Groceries,-64.6
2022-04-15,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-04-15,PCC Market,Groceries,-7.49
2022-04-18,Belle Pastry,Dining & Drinks:Restaurants,-3.34
2022-04-18,Netflix,Entertainment,-17.05
2022-04-18,QFC Foods,Groceries,-3.98
2022-04-18,Chevron,Auto & Transport:Gas & Fuel,-4.39
2022-04-18,Chipotle,Dining & Drinks:Restaurants,-19.71
2022-04-18,PSE,Utilities,-15.36
2022-04-18,Five Guys,Dining & Drinks:Restaurants,-37.61
2022-04-18,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-18,Chipotle,Dining & Drinks:Restaurants,-18.94
2022-04-19,Mayuri,Dining & Drinks:Restaurants,-16.5
2022-04-19,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-04-20,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-04-20,Nordstrom,Shopping,-3.58
2022-04-20,T Mobile,Utilities:Phone,-224.95
2022-04-21,Amazon,Shopping:Electronics,-16.5
2022-04-21,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-22,PCC Market,Groceries,-7.29
2022-04-22,Idmetrics Inc.   Payroll                    Ppd Id: P942875288,Uncategorized,4330.69
2022-04-22,Panda Express,Dining & Drinks:Restaurants,-11.59
2022-04-22,Manning 203-626-1510 Httpswww.mann Ny        04/22,Uncategorized,-64.84
2022-04-25,NY Times,Financial,-4.0
2022-04-25,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-04-25,Chipotle,Dining & Drinks:Restaurants,-19.71
2022-04-25,Barber Shop,Personal Care:Hair,-33.0
2022-04-25,Panda Express,Dining & Drinks:Restaurants,-11.79
2022-04-25,QFC Foods,Groceries,-3.98
2022-04-25,Elizabeth Cleaning,Cleaning,-80.0
2022-04-25,Chipotle,Dining & Drinks:Restaurants,-12.33
2022-04-25,Chevron,Auto & Transport:Gas & Fuel,-50.0
2022-04-25,Subway 56541 Bellevue Wa                     04/23,Uncategorized,-37.84
2022-04-26,Starbucks,Dining & Drinks:Restaurants,-4.35
2022-04-26,Atm Check Deposit 04/26 10550 Ne 8th St Bellevue Wa,Uncategorized,1281.56
2022-04-26,Freshii - 2039 Bellevue Bellevue Wa          04/25,Uncategorized,-15.72
2022-04-26,Panda Express,Dining & Drinks:Restaurants,-2.86
2022-04-26,What The Pho Xpress. L Bellevue Wa           04/26,Uncategorized,-14.85
2022-04-27,Med*cdi 800-634-4064 Mn                      04/27,Uncategorized,-19.1
2022-04-27,Starbucks,Dining & Drinks:Restaurants,-4.35
2022-04-27,Panda Express,Dining & Drinks:Restaurants,-2.58
2022-04-29,Timber Consulting,Personal Income:Paycheck,6595.78
2022-04-29,PCC Market,Groceries,-10.98
2022-04-29,Huel,Dining & Drinks:Restaurants,-183.0
2022-05-02,Amazon Kids+*1q1ff7jb 888-802-3080 Wa        04/30,Uncategorized,-3.29
2022-05-02,Google Domain,Software ,-6.61
2022-05-02,Panda Express,Dining & Drinks:Restaurants,-10.24
2022-05-02,Shake Shack,Dining & Drinks:Restaurants,-38.06
2022-05-02,QFC Foods,Groceries,-6.57
2022-05-02,Alimony,Home,-2200.0
2022-05-02,QFC Foods,Groceries,-7.18
2022-05-02,Quest Diagnostics 866-254-3859 Pa            04/30,Uncategorized,-7.0
2022-05-02,QFC Foods,Groceries,-27.15
2022-05-02,Chase Mortgage,Home:Mortgage,-5307.82
2022-05-02,Chipotle,Dining & Drinks:Restaurants,-10.02
2022-05-02,Soylent,Groceries,-64.6
2022-05-02,Chipotle,Dining & Drinks:Restaurants,-28.41
2022-05-03,Amli Spring District,Home:Rent,-2683.28
2022-05-03,Panda Express,Dining & Drinks:Restaurants,-12.88
2022-05-04,Best Buy #497 Bellevue Wa            509001  05/04,Uncategorized,-25.31
2022-05-04,Starbucks,Dining & Drinks:Restaurants,-4.35
2022-05-04,American Gen Lif Ins Paymt                  Ppd Id: 4250598210,Uncategorized,-102.03
